,AAPL,MSFT,^GSPC
2019-03-14,45.932498931884766,114.58999633789062,2808.47998046875
2019-03-15,46.529998779296875,115.91000366210938,2822.47998046875
2019-03-18,47.005001068115234,117.56999969482422,2832.93994140625
2019-03-19,46.63249969482422,117.6500015258789,2832.570068359375
2019-03-20,47.040000915527344,117.5199966430664,2824.22998046875
2019-03-21,48.772499084472656,120.22000122070312,2854.8798828125
2019-03-22,47.76250076293945,117.05000305175781,2800.7099609375
2019-03-25,47.185001373291016,117.66000366210938,2798.360107421875
2019-03-26,46.6974983215332,117.91000366210938,2818.4599609375
2019-03-27,47.11750030517578,116.7699966430664,2805.3701171875
2019-03-28,47.18000030517578,116.93000030517578,2815.43994140625
2019-03-29,47.48749923706055,117.94000244140625,2834.39990234375
2019-04-01,47.810001373291016,119.0199966430664,2867.18994140625
2019-04-02,48.505001068115234,119.19000244140625,2867.239990234375
2019-04-03,48.837501525878906,119.97000122070312,2873.39990234375
2019-04-04,48.92250061035156,119.36000061035156,2879.389892578125
2019-04-05,49.25,119.88999938964844,2892.739990234375
2019-04-08,50.025001525878906,119.93000030517578,2895.77001953125
2019-04-09,49.875,119.27999877929688,2878.199951171875
2019-04-10,50.154998779296875,120.19000244140625,2888.2099609375
2019-04-11,49.73749923706055,120.33000183105469,2888.320068359375
2019-04-12,49.717498779296875,120.94999694824219,2907.409912109375
2019-04-15,49.807498931884766,121.05000305175781,2905.580078125
2019-04-16,49.8125,120.7699966430664,2907.06005859375
2019-04-17,50.782501220703125,121.7699966430664,2900.449951171875
2019-04-18,50.96500015258789,123.37000274658203,2905.030029296875
2019-04-19,50.96500015258789,123.37000274658203,2905.030029296875
2019-04-22,51.13249969482422,123.76000213623047,2907.969970703125
2019-04-23,51.869998931884766,125.44000244140625,2933.679931640625
2019-04-24,51.790000915527344,125.01000213623047,2927.25
2019-04-25,51.31999969482422,129.14999389648438,2926.169921875
2019-04-26,51.07500076293945,129.88999938964844,2939.8798828125
2019-04-29,51.15250015258789,129.77000427246094,2943.030029296875
2019-04-30,50.16749954223633,130.60000610351562,2945.830078125
2019-05-01,52.630001068115234,127.87999725341797,2923.72998046875
2019-05-02,52.287498474121094,126.20999908447266,2917.52001953125
2019-05-03,52.9375,128.89999389648438,2945.639892578125
2019-05-06,52.119998931884766,128.14999389648438,2932.469970703125
2019-05-07,50.71500015258789,125.5199966430664,2884.050048828125
2019-05-08,50.724998474121094,125.51000213623047,2879.419921875
2019-05-09,50.18000030517578,125.5,2870.719970703125
2019-05-10,49.29499816894531,127.12999725341797,2881.39990234375
2019-05-13,46.43000030517578,123.3499984741211,2811.8701171875
2019-05-14,47.165000915527344,124.7300033569336,2834.409912109375
2019-05-15,47.72999954223633,126.0199966430664,2850.9599609375
2019-05-16,47.52000045776367,128.92999267578125,2876.320068359375
2019-05-17,47.25,128.07000732421875,2859.530029296875
2019-05-20,45.772499084472656,126.22000122070312,2840.22998046875
2019-05-21,46.650001525878906,126.9000015258789,2864.360107421875
2019-05-22,45.69499969482422,127.66999816894531,2856.27001953125
2019-05-23,44.915000915527344,126.18000030517578,2822.239990234375
2019-05-24,44.74250030517578,126.23999786376953,2826.06005859375
2019-05-27,44.74250030517578,126.23999786376953,2826.06005859375
2019-05-28,44.557498931884766,126.16000366210938,2802.389892578125
2019-05-29,44.345001220703125,124.94000244140625,2783.02001953125
2019-05-30,44.57500076293945,125.7300033569336,2788.860107421875
2019-05-31,43.76750183105469,123.68000030517578,2752.06005859375
2019-06-03,43.32500076293945,119.83999633789062,2744.449951171875
2019-06-04,44.90999984741211,123.16000366210938,2803.27001953125
2019-06-05,45.6349983215332,125.83000183105469,2826.14990234375
2019-06-06,46.30500030517578,127.81999969482422,2843.489990234375
2019-06-07,47.537498474121094,131.39999389648438,2873.340087890625
2019-06-10,48.14500045776367,132.60000610351562,2886.72998046875
2019-06-11,48.70249938964844,132.10000610351562,2885.719970703125
2019-06-12,48.54750061035156,131.49000549316406,2879.840087890625
2019-06-13,48.537498474121094,132.32000732421875,2891.639892578125
2019-06-14,48.185001373291016,132.4499969482422,2886.97998046875
2019-06-17,48.47249984741211,132.85000610351562,2889.669921875
2019-06-18,49.61249923706055,135.16000366210938,2917.75
2019-06-19,49.467498779296875,135.69000244140625,2926.4599609375
2019-06-20,49.8650016784668,136.9499969482422,2954.179931640625
2019-06-21,49.69499969482422,136.97000122070312,2950.4599609375
2019-06-24,49.64500045776367,137.77999877929688,2945.35009765625
2019-06-25,48.89250183105469,133.42999267578125,2917.3798828125
2019-06-26,49.95000076293945,133.92999267578125,2913.780029296875
2019-06-27,49.935001373291016,134.14999389648438,2924.919921875
2019-06-28,49.47999954223633,133.9600067138672,2941.760009765625
2019-07-01,50.38750076293945,135.67999267578125,2964.330078125
2019-07-02,50.682498931884766,136.5800018310547,2973.010009765625
2019-07-03,51.102500915527344,137.4600067138672,2995.820068359375
2019-07-04,51.102500915527344,137.4600067138672,2995.820068359375
2019-07-05,51.057498931884766,137.05999755859375,2990.409912109375
2019-07-08,50.005001068115234,136.9600067138672,2975.949951171875
2019-07-09,50.310001373291016,136.4600067138672,2979.6298828125
2019-07-10,50.807498931884766,137.85000610351562,2993.070068359375
2019-07-11,50.4375,138.39999389648438,2999.909912109375
2019-07-12,50.82500076293945,138.89999389648438,3013.77001953125
2019-07-15,51.3025016784668,138.89999389648438,3014.300048828125
2019-07-16,51.125,137.0800018310547,3004.0400390625
2019-07-17,50.837501525878906,136.27000427246094,2984.419921875
2019-07-18,51.415000915527344,136.4199981689453,2995.110107421875
